date,temperature_2m_d,max_temperature_2m_d,min_temperature_2m_d,dewpoint_temperature_2m_d,humidity_d,surface_pressure_d,total_precipitation_d,u_component_of_wind_10m_d,v_component_of_wind_10m_d
2015-05-22,295.8864944946485,301.40661311241644,291.93389854514976,292.5507023469168,82.39552788861256,100704.34138332798,1.875730977853512,-1.8970333498822904,-3.4714640233170746
2015-05-23,295.42141157307594,297.45339200660493,293.86372052585943,294.17936575950137,92.83108099005872,100115.48064762504,35.323286193050194,0.09147706216670713,-3.0062635770502215
2015-05-24,293.5190773307055,295.8633128931595,291.89784585556595,291.96180476599704,91.10184946814557,100429.34209024391,2.254623580617133,-1.6986487491270152,3.4541223980847033
2015-05-25,292.44328586419545,295.7774408336715,289.6205166538431,289.0993528040398,81.27112759946544,100894.80457590606,0.0507156720427326,-2.463798720437174,3.1130729489890903
2015-05-26,292.147674123727,294.5415754631464,290.4604861825931,289.7200180427997,85.97320779411211,100855.82681162578,4.582052808477318,-2.4546812229965176,2.4578353389889633
2015-05-27,290.61135748346464,292.8125048874887,288.5373123331166,288.0237803166047,85.19574933720618,100841.53835674407,8.993178707863713,-1.7536694074170507,4.536047527036311
2015-05-28,288.65853656357126,293.2945472185759,285.50803796702826,285.2896872539307,81.85184393931983,101259.07504398789,0.005184238300421298,-0.7674932902275164,2.2677551377656493
2015-05-29,287.8028556523302,292.3850942803029,283.9584232499566,283.9009996796968,78.517423706091,100896.30063810354,0.0057155320805515105,-2.1888162584757085,-0.5509264790827211
2015-05-30,287.5950381020762,293.15953227092604,283.35736113800505,283.9935686619298,80.15721781368893,100771.49404747543,0.028632277783893444,-0.8515735779723302,0.1941753617814712
2015-05-31,287.69688342844853,294.34674889626297,282.29416894705975,284.01587651581207,80.7272664471118,101059.99372661399,0.014655515677129955,-1.1614507084578856,0.5575624979967546
2015-06-01,288.08053112171626,295.0993082103489,282.63398105843123,283.9701901724893,78.26317523701954,101284.27150745936,0.0002624607264027357,-1.8751123477247653,-1.008169609516357
2015-06-02,289.3269787066947,296.4210101020741,284.33394000062515,286.1056459148996,82.60136639801247,101008.52676698825,0.0023615860348758636,-1.4669164399323085,-1.759349470790069
2015-06-03,293.1592887873433,298.1387038335399,289.993639876258,290.65327727939786,85.9671848690466,100659.12626465333,1.1699731027184295,-0.8060605167392734,-3.0467619342688406
2015-06-04,295.0886324702218,298.849056516909,292.5915951593729,293.1727662439646,89.28942557612828,100899.84775833166,4.230117593529776,-1.4470638892139691,-1.837319287134942
2015-06-05,297.3684582217199,302.88934972610906,294.18178392457725,294.15231074019215,83.40429519912804,100633.48360358695,6.091662700630779,-0.8667498007231146,-4.269247181881291
2015-06-06,297.40892416327654,302.3260259699096,294.0560660473543,291.5606909838722,71.06431283191188,100179.21588243153,0.0013148959883408343,-0.0026460876499480837,-5.859253363717781
2015-06-07,296.0504721781841,301.08733361258857,292.80934186567134,291.6467448764326,76.78501973263421,100387.22481574245,0.9999619495797788,-0.28686762061191884,-2.6879930129966034
2015-06-08,295.4266505831881,298.81441781780967,292.76837207594576,292.3665319430173,83.412377828408,100431.36978594387,3.994412959184963,-0.8668706990201407,-2.1647771874392574
2015-06-09,295.94616050423406,300.29867268599855,293.1803454178035,292.56227358954953,82.2981091760181,100236.66611805467,1.8266885706491869,0.11654580640888682,-2.794888396691791
2015-06-10,293.7519038132919,296.5148103544857,291.252875078671,291.32678051643984,86.40077080767041,100378.16567144713,5.5263784645426055,0.0837989053849077,1.2855890483480428
2015-06-11,290.19575822303085,292.7492584320953,286.8518956413162,284.6478481973555,72.06700424469899,100831.25099831283,5.349684420864036,-1.6723734938511412,4.556603171037099
2015-06-12,285.00903253883246,290.90058551373016,279.8366046254592,278.6444123353031,67.21539441987761,101270.58581430589,0.0,-2.1550193306187198,2.0155278304571302
2015-06-13,286.1244362467872,290.4879695500145,283.1703536188884,281.2124758373355,72.49048452847595,100514.98171646704,0.40828086708050554,-2.177138726006227,0.8523700986669958
2015-06-14,286.4896140128308,292.3008207667925,282.277745587133,281.8138000557158,76.11452172162124,100434.29425521169,0.7765500998267078,0.22677258756950813,3.018472375691046
2015-06-15,284.11065092277664,291.64172408503885,278.1226638564658,277.31822547792507,67.04549164709121,101297.91940276623,2.514570951461792e-06,1.3208090827128316,1.135739779963523
2015-06-16,285.13576378017723,292.9803207967502,279.96793144848226,278.7895536124227,67.8072452886679,100996.86329865023,0.0,-0.9593874103899505,-2.943152944987989
2015-06-17,286.1429704943793,289.73467023948825,283.3853820875095,282.50702747395485,79.07753280682172,100690.20558377756,6.453816852109286,-1.2566833051457333,0.17493358285370517
2015-06-18,284.4164130912155,287.3142678870888,280.3588337330423,279.84175615015556,74.8616236090979,101724.2581011129,1.0136281686457802,-0.7077938661527098,5.634909640017262
2015-06-19,280.3251437550663,287.72906645486927,274.73496306921726,274.97074119901833,70.93012572379226,102187.30620039755,0.0,-2.55951735492188,0.7606997016129001
2015-06-20,284.2549359468352,293.74681675668455,277.1606445711255,280.35431508603875,78.28869333564465,101343.64298239177,0.017528113919962587,-1.8085993963231837,-2.434173423040859
2015-06-21,289.59198484076956,295.49188644138195,285.6932041788778,286.71580458970294,84.14498533394293,101197.90921640211,0.13482524647374172,-0.35841417416347826,-0.927465480430638
2015-06-22,289.7752363886127,292.70380958103544,287.3069454627442,288.150275671589,90.3196021636185,101140.74834766806,10.50232776186567,-1.144105656171288,0.7098942178665422
2015-06-23,285.99573943107595,289.45093100780525,283.05080805642166,282.28215825456465,79.08470514498484,101757.24727604196,9.402572010982464,-3.624671061446648,4.237611484363326
2015-06-24,285.15943099940233,287.4779632055412,283.2270778260194,282.2837825937593,82.84777013781995,101731.72293442268,4.031491082930198,-4.236345162745387,0.9592660341995721
2015-06-25,290.19111300520166,296.6709721522141,286.12708825459566,287.814679954145,87.08173302661284,101542.08137560694,0.0015289507136558658,-3.510630806862985,-1.9270255685670354
2015-06-26,291.70858553126106,296.9992334073913,288.1816034146525,288.55957265157065,82.836962057077,101638.4384377598,0.0026410494745131683,-2.794511098324165,-2.1956132869861493
2015-06-27,293.241074525539,298.7008446280332,289.65489459775534,289.3040077901407,79.12915391974924,101434.74251694554,0.11303606829199161,-2.632327954042848,-2.6879440749272843
2015-06-28,293.02027540529184,297.945580424652,289.5065221422293,289.44356349585496,80.74893392760065,100945.33797240636,0.26044325176839955,-1.9186326657294825,-3.421277875832865
2015-06-29,291.1908505942677,293.52087851216953,289.5572029000938,289.7268987489,91.28763552386016,100456.86267780776,33.78018819357337,-1.7329293243189192,-3.504897443048954
2015-06-30,290.6395734295452,294.67570975926066,288.30587362004053,288.13298000592374,86.29451066787593,100578.45337742018,2.1049095961051365,1.3643742143557325,1.5301676661107135
2015-07-01,287.50610536440627,293.3260456331481,282.89671784253824,285.00244931613366,86.12620364724808,101126.0957032409,0.0008516719540125428,-1.1305285400953327,1.0349449583932129
2015-07-02,286.83730023211837,290.28234089149413,283.87574650433174,285.2155840446016,90.19220085991951,100793.28692527987,1.197315585692925,-2.6943243822774177,0.2802307751381278
2015-07-03,287.48880977214856,289.6684841720835,283.48780852026255,284.5296504616616,83.38207999488034,100736.63582391085,0.3541510285001056,1.8946232477248033,4.2398805450485435
2015-07-04,281.4725807254739,285.49769820845256,277.3570639101705,277.34397496405103,76.11225193385965,101701.47000189316,0.011244534382146018,0.25807840950586974,2.8199411761826547
2015-07-05,281.90147435609185,289.14796391384203,277.15827950232165,277.8442266801477,77.73967393519271,101278.88790545004,0.0005392664948886225,-2.8142302451468186,-1.378280209765823
2015-07-06,286.7902462855011,290.1886375714078,283.41442555713417,283.6801839802322,81.72124113859613,100695.34532762662,0.7432002901719857,-2.079679494052939,-0.639039721019752
2015-07-07,288.14712185198954,290.4628797307845,286.26406124282886,286.05925039721956,87.69401473257291,100797.0509772933,3.367160811912217,-1.1293992517750988,3.5604997579336453
2015-07-08,287.5742372069993,290.82797874418515,284.8658034271458,285.2772505995199,86.4700339290471,100787.47810439802,1.9957657613531932,-1.9309606129004766,2.580066577275347
2015-07-09,288.8398225370479,291.5982607108379,286.74352051749133,286.5840063673403,86.90650392238585,100689.10423680916,0.4314435396001406,-0.3698007451096788,-1.3214546117004864
2015-07-10,289.38537532767646,292.95556740042286,285.8567154221574,287.2426618854838,87.60852735760184,100692.1628437834,1.9249859243995768,-2.686394658537286,-0.9770964596980524
2015-07-11,290.7750564260721,294.11690587261637,288.5153641641553,288.8009843476816,88.54837943518675,100617.15382509501,0.6993619940998864,-2.1579005619568643,-0.06635633566243637
2015-07-12,292.40512704121386,296.48513674862045,289.90584408829795,290.45856451315603,89.0405344630503,99922.36778119799,1.4137477217992287,-1.6566531091296568,-3.207083281261687
2015-07-13,291.54794385021546,294.2626751879723,288.4302858797976,290.1701676641214,91.76736000631224,99528.85493003688,23.936211203321808,-0.42594876701671913,1.691134320007649
2015-07-14,285.8376461010247,289.25052531940696,282.8511603375175,281.24728323681626,75.43959725151971,100758.35248912364,1.6027121224175178,-0.10754305092530499,5.328713666332824
2015-07-15,284.00436698259693,290.09958070982816,279.6588776120522,276.62661989940096,63.08481330048832,101643.26598599808,0.0023255975667072835,-2.2590229625464566,2.3636265384734587
2015-07-16,283.41116238846837,289.3202148317873,278.81162446070675,279.87150249831234,79.30443824285643,101507.50940219083,0.006367267018904585,-2.3869281654163332,1.2820306918396018
2015-07-17,286.01715964339786,289.758855890504,283.33358491409456,283.3068609743479,84.5461409333616,101511.39328631696,0.06479358075106624,-0.607040954549924,1.38922022518007
2015-07-18,287.04178134487495,294.12441607875905,281.5600715053119,284.7796441277732,86.9555305014352,101025.9415716688,0.2718814037080444,-2.422849882602719,-1.8506649265438269
2015-07-19,292.6590443721198,295.74973579012953,290.39352558278955,290.75803100600444,89.12222478430147,100469.93524260182,19.926021257332703,0.07183639043314001,-1.8332394775032625
2015-07-20,289.17742603725907,292.59745527841676,284.7836847814507,285.54471823446545,80.7394219779006,100910.48504618728,21.35686434431967,0.08430239586434563,5.748692613256338
2015-07-21,282.2301629271453,287.1234635712592,277.7997689951469,277.97226023924645,76.15709296707513,101772.34096850496,0.0004996077517706756,-0.39914707088921625,2.9019089294575924
